item,quantity,link,price(Dollar),description
ESP32-S3 N16R8,1,https://makerbazar.in/products/esp32-s3-wroom-1-development-board-copy?variant=48942521352432,10.44,main controler of this project
1.3inch led tft display,1,https://robu.in/product/st7789-driver-spi-interface-display-module/,3.76,for visual settings
Micro SD Card Reader Module,1,https://robu.in/product/mini-micro-sd-card-reader-module/,0.25,for read save codes from sd card
8gb micro sd card,1,bought from local stors,,for save codes
NEO GPS Module,1,https://makerbazar.in/products/neo-gps-module-neo-m8n-neo-7m-neo-6m?variant=48251052622064,2.91,for trace live location
CC1101 RF Module,1,https://quartzcomponents.com/products/cc1101-sma-antenna-wireless-transceiver-module?variant=45714339725546&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gbraid=0AAAAACPPFdPM2Gbe_IvjBKYqx87_yjUo-&gclid=CjwKCAjwrNrQBhBjEiwAoR4VO-2YRATx4zgBbvCyZYitmHxQU9vQZajKeA62IbaEYIy5uMI3PNw8NBoCoWYQAvD_BwE,3.54,for read rf signals
NRF24L01 Module,1,https://makerbazar.in/products/2-4ghz-nrf24l01-pa-lna-sma-wireless-transceiver-antenna?variant=44824810324208,1.51,for generate rf signals
PN532 NFC Module,1,https://robu.in/product/pn532-nfc-rfid-read-write-module-v3-kit/,2.97,for read rfid cards
IR Receiver module,1,https://robu.in/product/infrared-receiver-module-arduino/,0.23,for catch ir signals
IR Transmitter Sensor Module,1,https://robu.in/product/digital-38khz-infrared-transmitter-module/,0.41,for transmit saved ir signails
4000mah lipo battery ,1,https://robu.in/product/nova-105080-4000mah-3-7v-micro-lipo-battery-pack/,6.51,for power the flipper
TP4056 Li-ion 18650 3.7V 4.2V Battery Charger Board DC-DC Step Up Boost Module,1,https://makerbazar.in/products/3-5v-to-5v-9v-lithium-battery-charge-discharge-adjustable-module?variant=48251032502512&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAbckEuXqrVZMBvcD3vLBVg1a&gclid=CjwKCAjwrNrQBhBjEiwAoR4VO3epKpI-koEnFDj54nS8LQ_oJdqgIc79iqKM5FvOo0i9yNsQOPQJJBoCkbsQAvD_BwE,0.51,for charge the battery and stable the voltage
2.54mm 1x40 Pin Female Single Row SMT Header Strip,2,https://robu.in/product/2-54mm-1x40-pin-female-single-row-smt-header-strip-pack-of-5/,1.25,for connect sensore and microcontrolers
2.54mm Pin male Single Row SMT Header,2,https://robu.in/product/1-month-warranty-628/,1,for connect components
female pin header,1,https://robu.in/product/2-54mm-1x40-pin-female-single-row-header-strip-pack-of-10/,0.12,for connect components
104 ceramic disk capasitor,2,https://makerbazar.in/products/ceramic-capacitor?variant=45523163185392&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAYG0TDIdhadEZUKTHn2YJUhY&gclid=Cj0KCQjwz9_QBhD_ARIsADnSCfBUFfMnZlXH9mW9WAivHlmsblgyPJEBfC8Gg31RhxJlGDZ4YmgGeJ8aAtjrEALw_wcB,0.20,for insulating the circuit
button,5,https://robu.in/product/tact-switch-tk-012d-4pins-12x12-smd/,0.31,for control the flipper
M4 X 20mm Male to Female Brass Hex Threaded Pillar Standoff Spacer,4,https://robu.in/product/m4-x-20mm-male-to-female-brass-hex-threaded-pillar-standoff-spacer-6-pcs/,1.66,for connect pcb boards
4mm Stainless Steel Allen Socket Head Nut-Bolt,4,https://makerbazar.in/products/stainless-steel-allen-head-nut-bolt-washer-set?variant=44137335947504,0.68,for connect pcbs
100 uf 25v smd capasitor,2,https://robu.in/product/uul1e101mnl1gs-nichicon-100uf-25v-116ma120hz-%c2%b120-smdd8xl10mm-aluminum-electrolytic-capacitors-smd-rohs/,1.11,for capasiting
10k smd resistor,7,https://robu.in/product/yageo-10k-ohm-1-4w-1206-surface-mount-chip-resistor-pack-of-50/,0.048,for limiting the current
custom pcb,1,https://cart.jlcpcb.com/shopcart/cart/,8,for mount and connect all components
3d printed case,https://cart.jlcpcb.com/shopcart/cart/,4.84,cover the circuit
deliveri charges,4,JLCPCB.ROBU.MAKERBAZAR.QUARTZ,18,
total,,,71,
